provider_id,lat,lng
100173,28.0714161,-82.42358899999999
100176,26.8294766,-80.0866442
100179,30.2884116,-81.60200499999999
100191,28.1808458,-82.6817662
100204,29.6603042,-82.4115721
100211,28.3647248,-82.1959178
100212,29.1755041,-82.1368523
100213,27.48233,-82.62362949999999
100217,27.8161191,-80.47847929999999
100220,26.5441756,-81.8504152
100223,30.454478,-86.63362099999999
100226,30.1659644,-81.7376226
100231,30.5153695,-87.2187566
100232,29.644807,-81.694311
100236,26.9886302,-82.0983196
100238,27.8258053,-82.7023195
100242,30.186569,-85.665132
100243,27.9327936,-82.287386
100244,26.6395058,-81.94142819999999
100246,27.4319627,-80.34592789999999
100248,27.9140395,-82.80389
100253,26.9225859,-80.0964668
100256,28.3613206,-82.6881946
100258,26.4370934,-80.1272604
100260,27.2886068,-80.29407859999999
100264,28.5366019,-82.5340974
100265,28.0395062,-82.7087004
100286,26.213832,-81.7325884
100290,28.950209,-81.9582652
110003,31.2251563,-82.3489831
110007,31.5901236,-84.1576437
110010,33.7921115,-84.3221599
110011,33.569653,-85.072661
110016,33.032552,-85.0586022
110028,33.4707204,-81.9830717
110029,34.3043586,-83.817205
110030,34.20079339999999,-84.7953129
110031,33.239149,-84.2674962
110035,33.9695872,-84.5516065
110036,32.029986,-81.0894845
110038,30.8261438,-83.9739317
110043,31.98515,-81.154752
110054,34.26,-85.17
110074,33.9611872,-83.3982944
110076,33.7907835,-84.28282659999999
110082,33.9085258,-84.34957759999999
110083,33.8091054,-84.393287
110087,33.9635082,-84.01768659999999
110107,32.8338806,-83.63531929999999
110122,30.68814,-83.31575
110125,32.5322896,-82.9504767
110129,32.5057238,-84.96014509999999
110143,33.856383,-84.6044634
110164,32.8472566,-83.6179294
110168,34.277041,-85.19496529999999
110177,33.48297,-82.0901567
110191,33.510351,-84.2271743
110215,33.452609,-84.50848289999999
120001,21.3078718,-157.8548819
130002,42.5907332,-114.4959781
130006,43.6128522,-116.1923153
130007,43.6144822,-116.2570968
130018,43.4700469,-111.9916136
130028,42.87391299999999,-112.4210182
130049,47.6962908,-116.793832
140007,41.5359304,-88.1193763
140008,41.9108216,-87.8423407
140010,42.0657874,-87.6846772
140013,40.7529512,-89.59761329999999
140015,39.9232141,-91.39823
140029,41.7294968,-88.269583
140030,42.069983,-88.33072729999999
140040,40.9556818,-90.3657889
140043,41.788642,-89.69621939999999
140046,38.3229241,-88.91025929999999
140053,39.80572859999999,-89.6451854
140054,41.8321425,-87.7917155
140062,41.6687555,-87.813948
140065,41.7965993,-87.8862712
140067,40.7018902,-89.5907819
140080,42.0246094,-87.6844059
140091,40.1178595,-88.21384189999999
140113,40.1179701,-88.2276504
140114,41.9752241,-87.6981672
140116,42.3182475,-88.2793253
140117,41.9878027,-87.814386
140119,41.8746425,-87.66915399999999
140127,40.49646600000001,-88.9911266
140135,39.8664376,-88.9608983
140148,39.8095075,-89.655591
140162,40.477779,-88.9892448
140164,37.7273893,-89.22128289999999
140166,39.8275324,-88.9317592
140172,41.5228644,-87.71129529999999
140176,42.2755806,-88.40085649999999
140184,37.7306054,-88.9331256
140185,38.5502641,-90.0214907
140186,41.1249566,-87.881147
140187,38.5096757,-89.9885537
140189,39.48308970000001,-88.37282549999999
140191,41.6067169,-87.65949979999999
140200,41.8994744,-87.9403418
140202,42.2744766,-87.9575656
140208,41.7219887,-87.73282909999999
140209,40.70078120000001,-89.59529359999999
140211,41.8872711,-88.3447387
140223,42.0384783,-87.847611
140228,42.2662132,-89.07360659999999
140231,41.7606321,-88.1437782
140233,42.2697837,-89.0074714
140239,42.2983132,-89.0993542
140252,42.0673573,-87.99357719999999
140258,42.0046842,-88.01663789999999
140280,41.48262769999999,-90.5706604
140281,41.8946256,-87.6209858
140288,41.818736,-88.00766589999999
140291,42.196039,-88.1733328
150002,41.5994593,-87.3579115
150009,38.2824995,-85.74937249999999
150012,41.7065071,-86.17412589999999
150015,41.70648730000001,-86.9010788
150017,41.0385699,-85.2503212
150018,41.7219653,-85.8970441
150021,41.1884563,-85.10164739999999
150023,39.4856604,-87.4086413
150026,41.56341,-85.83052599999999
150034,41.5125365,-87.2613291
150035,41.4670983,-87.0510868
150042,38.6727348,-87.53285939999999
150044,38.3017384,-85.83428599999999
150046,39.41951160000001,-87.40897869999999
150048,39.8640506,-84.8841271
150051,39.1600064,-86.54038249999999
150056,39.7893741,-86.1623347
150058,41.6840257,-86.2520515
150059,40.0460248,-86.023438
150082,37.9830836,-87.57125649999999
150084,39.9088713,-86.19593189999999
150088,40.0955671,-85.6814411
150089,40.1968976,-85.4146284
150090,41.4926573,-87.52442330000001
150100,37.9643196,-87.5040721
150109,40.394149,-86.835365
150112,39.2165129,-85.8959244
150115,38.39499199999999,-86.940895
150125,41.5495797,-87.5067151
150126,41.3955182,-87.3672114
150128,39.6365539,-86.13254599999999
150153,39.93933699999999,-86.1592051
150154,39.9018569,-86.04477349999999
150162,39.6492557,-86.07858449999999
150164,39.12068,-86.5717461
150173,40.4005669,-86.80671269999999
150175,37.974807,-87.44457
160016,42.4938813,-94.18926359999999
160033,41.5416972,-90.55652219999999
160045,42.0166364,-91.6663523
160047,41.26854640000001,-95.8347527
160057,40.8096597,-91.1730702
160058,41.6594594,-91.5479919
160064,43.150633,-93.21717799999999
160069,42.4925024,-90.67460799999999
160079,41.9784474,-91.6559663
160080,41.8614111,-90.1892084
160082,41.5892197,-93.6335758
160083,41.5989873,-93.6229402
160110,42.5266507,-92.3395639
160153,42.4924955,-96.39975009999999
170012,38.833418,-97.61013419999999
170013,38.878486,-99.299245
170016,39.0565558,-95.69591
170020,38.0773088,-97.891826
170040,39.0585075,-94.6109429
170049,38.8526096,-94.8233609
170086,39.0511245,-95.6956239
170104,38.995666,-94.6907406
170122,37.69917110000001,-97.3317012
170123,37.69527350000001,-97.29778309999999
170142,39.2013044,-96.5993104
170182,38.9102643,-94.6521061
170186,37.75008649999999,-97.2275021
170192,37.7645505,-97.27607599999999
170195,38.93265,-94.6510009
170197,37.7244576,-97.1475055
180009,38.4702929,-82.63355589999999
180010,38.032462,-84.5236511
180012,37.7098304,-85.8762619
180013,36.9955269,-86.4300731
180027,36.6079783,-88.30956549999999
180035,39.0672817,-84.499932
180038,37.7657416,-87.1019986
180040,38.2489682,-85.7512244
180044,37.4710371,-82.52203349999999
180048,37.643888,-84.773335
180051,36.8611126,-87.49554760000001
180067,38.0328237,-84.5067424
180088,38.2477586,-85.75083939999999
180102,37.0504638,-88.6473046
180103,38.0186398,-84.5124239
180104,37.074127,-88.6269737
180130,38.262469,-85.64862509999999
180132,37.0934767,-84.6038834
190002,30.2024457,-92.0195301
190004,29.7810317,-90.80549549999999
190008,29.5985161,-90.7139912
190015,30.5043583,-90.46119949999999
190019,31.2829924,-92.4621623
190026,31.3151413,-92.4500652
190027,30.2162708,-93.2276523
190036,29.9611483,-90.1457593
190039,29.8920731,-90.09440389999999
190040,30.2837269,-89.770201
190041,32.4942675,-93.750771
190045,30.468666,-90.11284599999999
